Input,REP,REP_CMP,HALT,MOVS,XCHG,CMPXCHG,SHIFT_BY_ONE,MODRM_NEEDED,RM_IS_DR,REG_IS_DR,REG_IS_SEGMENT,MODRM_BUT_NO_SR,HARD_CODED_DR,HARD_CODED_DR_ID,,,,,,HARD_CODED_SR,HARD_CODED_SR_ID,,,,,,OP_IN_MODRM,OP_IN_MODRM_SUBSET,,DATA_SIZE,,will_mod_zf,HARDCODED_SEGMENT0,,,,,,HARDCODED_SEGMENT1_V,HARDCODED_SEGMENT1,,,,,,HARDCODED_LD_OP,HARDCODED_ST_OP,LD_OP_CANCEL,ST_OP_CANCEL,HARDCODED_DR_RD,HARDCODED_DR_WR,HARDCODED_SR_RD,HARDCODED_SR_WR,ST_SEL,alu_inputA_sel,,,,alu_inputB_sel,,,,branch_target_sel,,,,OP_TYPE,,,,,,br_uncond,relative_branch,special_br,is_far,is_call,second_flag_needed
0_0010_0001_1  (x0_21_1),0,0,0,0,0,0,0,1,1,0,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0010_0  (x0_22_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0010_1  (x0_22_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0011_0  (x0_23_0),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0011_1  (x0_23_1),0,0,0,0,0,0,0,1,0,1,0,0,0,NO_REG,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,0,0,0,0,0,DR_REGISTER,,,,SR_REGISTER,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0100_0  (x0_24_0),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0100_1  (x0_24_1),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0101_0  (x0_25_0),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,1,0,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0101_1  (x0_25_1),0,0,0,0,0,0,0,0,0,0,0,0,1,EAX,,,,,,0,NO_REG,,,,,,0,0,,0,1,1,DS,,,,,,0,DS,,,,,,0,0,0,0,1,1,0,0,0,DR_REGISTER,,,,IMM64,,,,NO_EXE,,,,AND,,,,,,0,0,0,0,0,0
0_0010_0110_0  (x0_26_0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
0_0010_0110_1  (x0_26_1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,,,,,,0,0,,0,0,0,0,,,,,,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,0,,,,0,,,,0,,,,,,0,0,0,0,0,0
