State_s,start_i,cont_mov_i,wait_mov_i,exit_mov_i,stall_i,NState_ns,clear_rep_o,select_line2_o,select_line1_o,select_line0_o
FUCK_ME,0,0,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,0,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,0,1,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,0,1,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,0,1,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,0,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,0,1,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,1,0,FUCK_ME,0,0,0,0
FUCK_ME,1,1,1,1,1,FUCK_ME,0,0,0,0
IDLE,0,0,0,0,1,IDLE,0,0,0,0
IDLE,0,0,0,1,1,IDLE,0,0,0,0
IDLE,0,0,1,0,1,IDLE,0,0,0,0
IDLE,0,0,1,1,1,IDLE,0,0,0,0
IDLE,0,1,0,0,1,IDLE,0,0,0,0
IDLE,0,1,0,1,1,IDLE,0,0,0,0
IDLE,0,1,1,0,1,IDLE,0,0,0,0
IDLE,0,1,1,1,1,IDLE,0,0,0,0
IDLE,1,0,0,0,1,IDLE,0,0,0,0
IDLE,1,0,0,1,1,IDLE,0,0,0,0
IDLE,1,0,1,0,1,IDLE,0,0,0,0
IDLE,1,0,1,1,1,IDLE,0,0,0,0
IDLE,1,1,0,0,1,IDLE,0,0,0,0
IDLE,1,1,0,1,1,IDLE,0,0,0,0
IDLE,1,1,1,0,1,IDLE,0,0,0,0
IDLE,1,1,1,1,1,IDLE,0,0,0,0
MOVS,0,0,0,0,1,MOVS,0,0,0,0
MOVS,0,0,0,1,1,MOVS,0,0,0,0
MOVS,0,0,1,0,1,MOVS,0,0,0,0
MOVS,0,0,1,1,1,MOVS,0,0,0,0
MOVS,0,1,0,0,1,MOVS,0,0,0,0
MOVS,0,1,0,1,1,MOVS,0,0,0,0
MOVS,0,1,1,0,1,MOVS,0,0,0,0
MOVS,0,1,1,1,1,MOVS,0,0,0,0
MOVS,1,0,0,0,1,MOVS,0,0,0,0
MOVS,1,0,0,1,1,MOVS,0,0,0,0
MOVS,1,0,1,0,1,MOVS,0,0,0,0
MOVS,1,0,1,1,1,MOVS,0,0,0,0
MOVS,1,1,0,0,1,MOVS,0,0,0,0
MOVS,1,1,0,1,1,MOVS,0,0,0,0
MOVS,1,1,1,0,1,MOVS,0,0,0,0
MOVS,1,1,1,1,1,MOVS,0,0,0,0
MOVS_OP,0,0,0,0,1,MOVS_OP,0,0,0,0
MOVS_OP,0,0,0,1,1,MOVS_OP,0,0,0,0
MOVS_OP,0,0,1,0,1,MOVS_OP,0,0,0,0
MOVS_OP,0,0,1,1,1,MOVS_OP,0,0,0,0
MOVS_OP,0,1,0,0,1,MOVS_OP,0,0,0,0
MOVS_OP,0,1,0,1,1,MOVS_OP,0,0,0,0
MOVS_OP,0,1,1,0,1,MOVS_OP,0,0,0,0
MOVS_OP,0,1,1,1,1,MOVS_OP,0,0,0,0
MOVS_OP,1,0,0,0,1,MOVS_OP,0,0,0,0
MOVS_OP,1,0,0,1,1,MOVS_OP,0,0,0,0
MOVS_OP,1,0,1,0,1,MOVS_OP,0,0,0,0
MOVS_OP,1,0,1,1,1,MOVS_OP,0,0,0,0
MOVS_OP,1,1,0,0,1,MOVS_OP,0,0,0,0
MOVS_OP,1,1,0,1,1,MOVS_OP,0,0,0,0
MOVS_OP,1,1,1,0,1,MOVS_OP,0,0,0,0
MOVS_OP,1,1,1,1,1,MOVS_OP,0,0,0,0
DEC_ECX_MOV,0,0,0,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,0,0,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,0,1,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,0,1,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,1,0,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,1,0,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,1,1,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,0,1,1,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,0,0,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,0,0,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,0,1,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,0,1,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,1,0,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,1,0,1,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,1,1,0,1,DEC_ECX_MOV,0,0,0,0
DEC_ECX_MOV,1,1,1,1,1,DEC_ECX_MOV,0,0,0,0
FILLER,0,0,0,0,1,FILLER,0,0,0,0
FILLER,0,0,0,1,1,FILLER,0,0,0,0
FILLER,0,0,1,0,1,FILLER,0,0,0,0
FILLER,0,0,1,1,1,FILLER,0,0,0,0
FILLER,0,1,0,0,1,FILLER,0,0,0,0
FILLER,0,1,0,1,1,FILLER,0,0,0,0
FILLER,0,1,1,0,1,FILLER,0,0,0,0
FILLER,0,1,1,1,1,FILLER,0,0,0,0
FILLER,1,0,0,0,1,FILLER,0,0,0,0
FILLER,1,0,0,1,1,FILLER,0,0,0,0
FILLER,1,0,1,0,1,FILLER,0,0,0,0
FILLER,1,0,1,1,1,FILLER,0,0,0,0
FILLER,1,1,0,0,1,FILLER,0,0,0,0
FILLER,1,1,0,1,1,FILLER,0,0,0,0
FILLER,1,1,1,0,1,FILLER,0,0,0,0
FILLER,1,1,1,1,1,FILLER,0,0,0,0
ERROR,0,0,0,0,0,ERROR,0,0,0,0
ERROR,0,0,0,0,1,ERROR,0,0,0,0
ERROR,0,0,0,1,0,ERROR,0,0,0,0
ERROR,0,0,0,1,1,ERROR,0,0,0,0
ERROR,0,0,1,0,0,ERROR,0,0,0,0
ERROR,0,0,1,0,1,ERROR,0,0,0,0
ERROR,0,0,1,1,0,ERROR,0,0,0,0
ERROR,0,0,1,1,1,ERROR,0,0,0,0
ERROR,0,1,0,0,0,ERROR,0,0,0,0
ERROR,0,1,0,0,1,ERROR,0,0,0,0
ERROR,0,1,0,1,0,ERROR,0,0,0,0
ERROR,0,1,0,1,1,ERROR,0,0,0,0
ERROR,0,1,1,0,0,ERROR,0,0,0,0
ERROR,0,1,1,0,1,ERROR,0,0,0,0
ERROR,0,1,1,1,0,ERROR,0,0,0,0
ERROR,0,1,1,1,1,ERROR,0,0,0,0
ERROR,1,0,0,0,0,ERROR,0,0,0,0
ERROR,1,0,0,0,1,ERROR,0,0,0,0
ERROR,1,0,0,1,0,ERROR,0,0,0,0
ERROR,1,0,0,1,1,ERROR,0,0,0,0
ERROR,1,0,1,0,0,ERROR,0,0,0,0
ERROR,1,0,1,0,1,ERROR,0,0,0,0
ERROR,1,0,1,1,0,ERROR,0,0,0,0
ERROR,1,0,1,1,1,ERROR,0,0,0,0
ERROR,1,1,0,0,0,ERROR,0,0,0,0
ERROR,1,1,0,0,1,ERROR,0,0,0,0
ERROR,1,1,0,1,0,ERROR,0,0,0,0
ERROR,1,1,0,1,1,ERROR,0,0,0,0
ERROR,1,1,1,0,0,ERROR,0,0,0,0
ERROR,1,1,1,0,1,ERROR,0,0,0,0
ERROR,1,1,1,1,0,ERROR,0,0,0,0
ERROR,1,1,1,1,1,ERROR,0,0,0,0
