S_0,S_1,S_2,req_hit_i,bank_hit_i,others_busy_i,mem_ready_i,NS_0,NS_1,NS_2,busy_o,mem_valid_o,ld_req_o,Drive_Addr_Bus_o,Drv_DB_0_o,Drv_DB_1_o,Drv_DB_2_o,Drv_DB_3_o
1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0
1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0
1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0
1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0
0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0
0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0
1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1
0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1
0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
